Date;Time;Open;High;Low;Close;Volume
20140102;1730;9926,5;9952;9758,4;9760,3;304375
20140103;1730;9764,9;9830,1;9722,5;9798;209216
20140106;1730;9767,4;9928,7;9766,4;9888,5;188619
20140107;1730;9911,5;10188,5;9881,9;10178,7;514204
20140108;1730;10186,8;10282;10117,2;10253,6;479865
20140109;1730;10255,9;10383;10186,3;10234,2;389287
20140110;1730;10293,1;10361,8;10248,8;10290,6;283436
20140113;1730;10336,2;10396;10298,3;10365,5;347556
20140114;1730;10270,6;10382;10223,1;10382;343749
20140115;1730;10380,3;10529,8;10368,4;10525;381454
20140116;1730;10525;10552,7;10441,4;10455,5;331148
20140117;1730;10465,7;10501,8;10393,5;10465,7;288502
20140120;1730;10444;10485,9;10403,5;10454,1;183408
20140121;1730;10470,4;10510,5;10344,2;10357,4;239283
20140122;1730;10397,2;10440,5;10241,5;10279,7;295355
20140123;1730;10251,6;10350,9;10215,8;10241,2;327843